senhJorth0,senhJorth1,senhJorth2,senhJorth3,senhJorth4,senhJorth5,senhJorth6,senhJorth7,senhJorth8,senhJorth9,senhJorth10,senhJorth11,senhJorth12,senhJorth13,senhJorth14,senhJorth15,senhJorth16,senhJorth17,senhJorth18,senhJorth19,senhJorth20,senhJorth21,senhJorth22,senhJorth23,senhJorth24,senhJorth25,senhJorth26,senhJorth27,senhJorth28,senhJorth29,senhJorth30,senhJorth31,senhJorth32,senhJorth33,senhJorth34,senhJorth35,senhJorth36,senhJorth37,senhJorth38,senhJorth39
"(0.008243243644201004, 132.45730497715786)","(0.007925117703179425, 133.23057346653616)","(0.00784913124469771, 134.67067826187417)","(0.00776531716286209, 141.54649524238891)","(0.007975717319634259, 143.28434476903078)","(0.008128320519357248, 135.29474198088909)","(0.007851976342717178, 141.87584765315407)","(0.00921575686667423, 138.74229199515315)","(0.00796507090579974, 139.26330930179785)","(0.007942998908744869, 132.26474179891594)","(0.007370357777628775, 145.935970535386)","(0.00850526909075044, 140.46841378510942)","(0.007558710297547883, 141.61776899588892)","(0.008612754595443719, 141.6254512438084)","(0.007553227803690692, 143.95065339824725)","(0.007380442573604975, 134.5020344587288)","(0.00757425194642191, 142.44393506730285)","(0.008082262834284891, 141.76837968954356)","(0.007382968139286606, 136.21437855417557)","(0.007391335041390964, 141.57845885066524)","(0.008164767535466074, 135.62289184624552)","(0.008126732980049478, 135.99120646978358)","(0.007481147873381263, 139.85587560088143)","(0.008723226809082921, 125.23420290164034)","(0.00808443229375826, 136.25943659926597)","(0.008174060442215119, 144.6459121177873)","(0.008163315811008801, 133.86699184942808)","(0.00798225296480006, 131.75710195278234)","(0.007436184283472769, 147.72807604099654)","(0.00834323830389492, 141.17663553704776)","(0.0070595440700454, 143.27914615038972)","(0.007073370084643384, 140.75435079101425)","(0.0005549538667635618, 2866.510272997168)","(0.0012693433031489506, 1262.9759050988196)","(0.0011512980027581358, 1444.6032002604593)","(0.0017668611611900231, 617.3667238866749)","(7.43644127819522e-05, 18044.603384532256)","(0.002166682025550302, 722.3061987130673)","(0.00016962871787331655, 1063.8863865630972)","(7.325261669861765e-05, 22933.721107592377)"
"(0.008063634233186977, 138.9801670909936)","(0.007488950046604617, 139.96332618877176)","(0.007499156282888526, 139.41694041092626)","(0.008863192390625413, 142.8074410093036)","(0.0077389924471021705, 146.1602564005726)","(0.007492194140762769, 140.7826612064227)","(0.007409897137883417, 146.8787934347801)","(0.008749651162313266, 145.20709312568823)","(0.0076417582332552175, 142.2921891667038)","(0.0077089847233151555, 136.51589534409825)","(0.0068284262500188245, 152.2080825830338)","(0.007791611339651561, 145.29283628121158)","(0.006970340921265452, 139.77453618642792)","(0.007242031078681486, 148.34986670638222)","(0.006883340166301063, 148.6826845459424)","(0.007105415079669198, 137.24600837142128)","(0.007076475878688205, 151.38128808768602)","(0.007466657798101117, 148.68876667647794)","(0.006921940222813189, 140.54944608223718)","(0.0069996102203435245, 145.25605334274792)","(0.008046643964798476, 141.41696500255668)","(0.007787531201590538, 137.61826701140112)","(0.006964020199699994, 143.06147170088678)","(0.00827737357092506, 128.42763817439922)","(0.007504074639123558, 141.16004231336407)","(0.007729330055230455, 150.32688603130788)","(0.008064358146605001, 135.48737852952522)","(0.007538939402091459, 135.64091280669794)","(0.006812733085544843, 157.18295974752942)","(0.008481331548371013, 142.05478266726686)","(0.006601314952351122, 150.5254535998283)","(0.006767654658599464, 149.6465692630767)","(0.001619845807524494, 931.5115199389736)","(0.0005577535473975118, 2821.249568435864)","(0.000898744929844966, 1848.4286844401884)","(0.0003970187350792599, 2890.698740300204)","(6.69140453525565e-05, 19860.707135925797)","(0.003389685528941728, 457.52833715767935)","(0.0002771835195224244, 1455.303965408288)","(0.0001363930148984457, 12401.430621019004)"
"(0.008220958588113659, 135.9605416684595)","(0.00798564892356889, 135.1865061906098)","(0.00850458129497674, 136.00161780044058)","(0.009057719565759305, 143.13027226697997)","(0.008670795840968039, 147.27839711697823)","(0.008425488787305124, 139.0561058816261)","(0.00839338917084075, 143.804711495489)","(0.009300344055113078, 141.89963676840708)","(0.00790969418083139, 141.9742309695483)","(0.007793127066007435, 133.47780649043662)","(0.0068679974932472744, 148.54569696119523)","(0.008101702946929372, 145.20142157658924)","(0.006957760974340613, 136.93620499816024)","(0.007250751327507811, 141.78300801847243)","(0.007182337870257007, 142.34693397748018)","(0.007238522320663589, 134.43046597726217)","(0.00700715537295187, 146.99706717983472)","(0.0074667940676641465, 146.17510904905902)","(0.006792928430942694, 143.34757800290225)","(0.006946215902141166, 143.83541833652296)","(0.008624726633398304, 137.60677345427104)","(0.008400780958560219, 137.771146772055)","(0.0069477323540499784, 143.3026152899717)","(0.008598573808030667, 126.20516105832948)","(0.007879262162326785, 140.4173483111686)","(0.00823888587888577, 147.80594908652824)","(0.008663416772060934, 139.5730929935523)","(0.007838614440941968, 134.59766706196726)","(0.007011094519587158, 152.12887929975435)","(0.0085271234889232, 139.70482265294527)","(0.006846492563352617, 144.6656600342996)","(0.007072939165640276, 143.28512889992945)","(0.0006063844734692223, 2556.664912504579)","(0.0008209420950730482, 1973.6637587823427)","(0.0008580381606670573, 1948.4362933295251)","(0.0005961078190931588, 1805.427560500526)","(2.163275358179133e-05, 63413.449415561765)","(0.0037228543560540203, 416.26701838851403)","(0.00016725074996343472, 3295.0693419376885)","(7.378309462091909e-05, 22621.83322404045)"
"(0.008161428068873976, 137.508392195498)","(0.007532486204901972, 140.65494242792536)","(0.007591228693242666, 141.92980990203307)","(0.007740996620302321, 148.0531536472351)","(0.007879446835272417, 147.98890280384987)","(0.00804169590130716, 136.44359188078036)","(0.007619958297476629, 147.70014501873462)","(0.009680930814929576, 137.79649929680272)","(0.007485717070455688, 145.5184278327597)","(0.007885318025920622, 135.00421362536397)","(0.006787113621120217, 153.45962171711423)","(0.007608788450185973, 146.81391254172598)","(0.007141950278094063, 140.91246301875645)","(0.007745714673939704, 145.52044680567118)","(0.007099425890680326, 145.7009413301537)","(0.007171541652253844, 139.44617862702978)","(0.007012550252746366, 154.07166191994534)","(0.006942329277480957, 158.39711691692602)","(0.006244582063092952, 153.7541974575219)","(0.006550263438493478, 155.15193062268546)","(0.008204206842811, 140.74399305309183)","(0.007912480923451416, 143.6004118230156)","(0.00660861709333187, 152.87331101266074)","(0.006978266624089443, 150.75778413354132)","(0.007632526986842752, 140.3756282866118)","(0.00814295975837093, 149.05724726890762)","(0.0077736201928529465, 137.41445411815147)","(0.00796683598856946, 134.2735344365685)","(0.006837117063665761, 158.77107378027105)","(0.007688857426232914, 142.52986441494932)","(0.006677422291043824, 149.22476543091977)","(0.00679813947531849, 144.11709758069279)","(0.0009255128443626798, 1468.8366410070535)","(0.0002979648663040941, 5396.042534086986)","(9.619540666387333e-05, 16514.196802845665)","(0.0010293058349351595, 1090.0683402782583)","(1.0397878249007575e-05, 127148.00110405397)","(0.0037166117360776735, 419.00823750554144)","(0.0004351542075760532, 752.7933747004961)","(0.0001525247998056819, 11173.663620739258)"
"(0.008502054798578502, 129.73246927164058)","(0.008404977931222317, 129.19688581117344)","(0.008494472736965599, 127.84635496826701)","(0.00834932469720604, 137.51042900430167)","(0.008497812274475353, 136.45279073199023)","(0.008459902757039471, 130.61912995467623)","(0.008444940572296262, 134.0109234931825)","(0.011037417345913361, 123.38548028889645)","(0.008334529549981831, 135.112236138188)","(0.008046006798647483, 133.29121316655656)","(0.007754003205789992, 136.46493073310432)","(0.008451018184082386, 138.19741983545237)","(0.007271299651364279, 134.94154959780025)","(0.007848478813726157, 139.09554844169534)","(0.007534441533719965, 136.98427956860598)","(0.007462579582969132, 135.00529093856605)","(0.00812411209239943, 133.8562837238458)","(0.008412010748967804, 133.3176751760855)","(0.008003244935220383, 129.06028560142892)","(0.007974634744707646, 132.2238039182689)","(0.00860169660146117, 132.17863672243374)","(0.008343569737809064, 132.50682332845471)","(0.007868837263951902, 133.99239124173553)","(0.008845471936501136, 126.4215695136521)","(0.008331908230813437, 132.703175995719)","(0.009602297199732537, 132.53459597095454)","(0.008692020282699523, 134.69294734897653)","(0.007940769133755465, 135.2465781599962)","(0.008007546161874646, 137.93766221012893)","(0.009044005071262141, 136.51864338930602)","(0.007427994437157088, 136.15724851367062)","(0.0072776427254203635, 135.84325508000487)","(0.0005686768165931054, 2759.547961892156)","(0.0002370202917433128, 6925.649238500153)","(0.0012043797493645231, 1312.87556632037)","(0.000290113578786715, 3914.0810755782386)","(1.994517180923189e-05, 67611.00423316288)","(0.002294509078335995, 690.8214248640306)","(0.00019311037916726069, 1229.1661045258304)","(7.375803419936285e-05, 23107.885531671083)"
"(0.008358847139124048, 136.42883378338013)","(0.007852407328613685, 135.10785142705396)","(0.007897623070525177, 135.16969872625677)","(0.007947333333156422, 144.12054808960897)","(0.008392605253158892, 142.94535297069567)","(0.008033956654120749, 137.06000195994093)","(0.008241362435375868, 143.5212819103805)","(0.00986276093168479, 134.61278773588336)","(0.008552885487393627, 139.82495191305136)","(0.007905334469157015, 136.21896062666949)","(0.007394098566042115, 147.41278113106299)","(0.00841949907645706, 141.20597487915737)","(0.0071125907379549335, 139.46850711191007)","(0.0076270425424052515, 145.1429753662066)","(0.007272553911619963, 145.2470440533872)","(0.007137639015645593, 137.631218330151)","(0.007593804130465756, 145.29916812443543)","(0.007909200512823605, 145.94329029438356)","(0.007579875510718764, 134.1391456639509)","(0.0076031579521250075, 139.04261543982886)","(0.008184779449104824, 137.4876503715129)","(0.008217674980411436, 138.02536248190776)","(0.007590962368366266, 137.6413069762853)","(0.008511131724339614, 128.99285916186835)","(0.008076605641151346, 138.88080020641945)","(0.009246420948293489, 138.72779704859204)","(0.008238343598072717, 136.12815224827867)","(0.0076279716720761784, 136.61878148644806)","(0.007335204822774655, 151.49725067748355)","(0.008778134235780883, 140.4082480753836)","(0.0069775645033426335, 148.2052919657498)","(0.006984196355863465, 147.50099038735357)","(0.0006579040912657231, 2427.8019569775215)","(0.0001926333913036382, 8120.743681425716)","(0.00020991049334480669, 7903.115386366004)","(0.0002037884512915947, 5445.1851005038125)","(1.5547425479635637e-05, 86118.64618555321)","(0.0039170192069764055, 398.9607462001788)","(0.0001589598851714964, 1768.4509920478247)","(9.630942572479144e-05, 17369.454204835158)"
"(0.007883066325585048, 138.37889164170053)","(0.007918527263587436, 138.28390349034456)","(0.008529500203750894, 134.38808972282243)","(0.008113542530307322, 144.09291212970243)","(0.008190311383262117, 147.73770550051907)","(0.007941676094193217, 140.11447170830039)","(0.007586380115768676, 146.9105919083553)","(0.0092636229682859, 143.6638324910865)","(0.0075906288011181764, 144.25722091262497)","(0.007547523190527074, 134.3126300611666)","(0.006549119496665108, 153.9032512488228)","(0.0086162332252041, 141.70926922146862)","(0.006964673809158734, 141.27642350161292)","(0.008119875546478581, 144.62478099685552)","(0.007402397899394939, 143.6025191269054)","(0.00709344465911811, 137.08144927494658)","(0.007036553612036808, 149.44725654983594)","(0.007318120221652261, 150.309399500372)","(0.007452013567857646, 136.46542900134557)","(0.00707983231881132, 146.0928776960307)","(0.007986913275652012, 138.9561949548166)","(0.007858404249668006, 142.09507203430422)","(0.007378039557045152, 139.76337073363527)","(0.008661623593864591, 125.65575601926236)","(0.007305144496421659, 143.21915734538373)","(0.00791053621047921, 150.65258191667954)","(0.008002158134121076, 133.59031973515087)","(0.007803093308366, 133.93221637325064)","(0.006581859077912454, 159.01185337184387)","(0.008017763313057924, 140.5295818362444)","(0.006661468593363141, 146.44267875053055)","(0.007024988370024685, 139.24430427722254)","(0.0003756798303561267, 4214.541483927999)","(0.0008867783190733429, 1610.9992756011375)","(0.0011646761084530574, 1439.7585688987963)","(0.0018308172422546302, 597.3376964041986)","(1.4045695263033061e-05, 91019.95856320529)","(0.00035541018140112385, 4399.034903948557)","(0.00011366130990284408, 3273.1018596801423)","(5.15907932008104e-05, 30894.35962301418)"
"(0.007885155691630858, 141.5840593833018)","(0.007301262069378062, 140.45422465995117)","(0.0073044999041181335, 139.28254331808546)","(0.007187497013936513, 150.96428770339767)","(0.007119021319036913, 149.59312395785724)","(0.007544175005718113, 138.95776603396973)","(0.00756470202755723, 144.82373698260201)","(0.008681737655020323, 146.37585256658008)","(0.007624673722447963, 143.40745359049987)","(0.007641530093146637, 134.68296277054847)","(0.006798501862226122, 152.14821352338313)","(0.007982784591674702, 146.74979859352135)","(0.006745700714328971, 136.1712549438115)","(0.006960457185739558, 144.5680699718886)","(0.007041253813819387, 148.29762682202775)","(0.006995087422188476, 135.18347357725932)","(0.006982109170523882, 149.78793898997554)","(0.007364470445697648, 148.7371444280842)","(0.006488955711883039, 141.00298799186217)","(0.006771881695365077, 147.25428408579586)","(0.008262086729985109, 138.5740975384225)","(0.0077726262839427195, 137.50252584552445)","(0.006676673679045128, 144.5895408173435)","(0.008070990923122164, 129.89584447624452)","(0.0073447413955911225, 141.32879418446944)","(0.007654062386074341, 149.64539984307828)","(0.007836004318020702, 139.11473200234823)","(0.007496072003398835, 135.24996174928242)","(0.006852392442523445, 155.8576541377403)","(0.008538667254092497, 143.00019327561753)","(0.006627134250658294, 149.23438076039304)","(0.007002343322788173, 149.1204481906312)","(0.0007378856137636808, 1766.96675750028)","(0.0015253016843796553, 1082.4450586660982)","(0.0008941350914516006, 1813.0078837213002)","(0.0010034430784130308, 1064.1806847303815)","(7.148646555369821e-05, 17269.699719360488)","(0.0035058854060510663, 448.412297628675)","(0.00021705014712328696, 826.344213679146)","(0.00013794665703657007, 11861.202620016127)"
"(0.008041323643123443, 140.91255220063638)","(0.007269759840119009, 140.96997554167825)","(0.007284716406155036, 141.7295924777059)","(0.00701064459443559, 151.53391826327)","(0.007623916642299106, 151.9562804053394)","(0.007477440657275673, 141.82899953628524)","(0.00749157579917281, 148.50581768743425)","(0.009656255607183955, 139.53376288265684)","(0.00798841399848335, 145.32684452248145)","(0.007584402238407146, 137.81834920021888)","(0.006602739988154433, 157.9310510280474)","(0.008392337296908265, 146.1278821230789)","(0.00680860645101843, 139.1495458604232)","(0.007269236386187538, 147.00236383678657)","(0.006995602149339949, 148.38178423106206)","(0.006980159337217028, 139.2854049993003)","(0.00682671455914141, 154.64525475573592)","(0.006910884432680383, 157.78365779319122)","(0.0061255897434275815, 150.76431095843975)","(0.006434691359579086, 154.61343142449127)","(0.00836709994839484, 141.0285459841081)","(0.007532130606094008, 141.1807477405268)","(0.0063393362050049315, 150.88550240392993)","(0.008214163858445898, 129.6574456419771)","(0.007260195015110082, 142.83769258063805)","(0.008171903848583779, 149.5472115467624)","(0.008424002281494826, 138.14703586817424)","(0.007734988745622891, 135.86789315901834)","(0.0066746193867214055, 161.49172331437856)","(0.009797186992935095, 135.5890693820441)","(0.006574140497359078, 153.17968463621906)","(0.0069239617012270775, 148.75100480544742)","(0.0011538860130379503, 1330.8826273464929)","(0.0008662007812904482, 1778.0077872802851)","(0.0006486429127602341, 2581.8561691322293)","(0.0007874214922615213, 1353.7093074640518)","(6.567171307484943e-06, 199070.59853348127)","(0.0032321083180276845, 487.0169513040754)","(0.00010004560455478752, 1789.799955011837)","(3.6930337056162475e-05, 44870.73101970582)"
"(0.008127049045370375, 135.95725216745524)","(0.007841547462451722, 134.08428345846966)","(0.008004557867330928, 133.7933771287649)","(0.007825180607192917, 143.79979285958495)","(0.008018291318754285, 145.75302528454046)","(0.008247760476023207, 134.82003072710887)","(0.008106879154459155, 140.8129850263291)","(0.010372383492808194, 132.33822790293053)","(0.007829758449181922, 140.10950573689618)","(0.0076819105258761405, 133.86790711646182)","(0.007237395092816016, 147.65001113769355)","(0.007840939523244906, 140.3240298811917)","(0.0070189820207214, 134.48944893694332)","(0.007632654293891327, 140.4478127891784)","(0.007791247485966325, 142.62282601898812)","(0.00720768634620993, 133.30043236379657)","(0.007613997774882803, 144.42239673542517)","(0.008294045709643838, 141.7333188854047)","(0.007419032762366592, 134.46118791415947)","(0.007485414838662998, 140.8705128523444)","(0.008188154539490634, 134.23961054726857)","(0.00808428080543023, 134.68402466284613)","(0.007476355231917468, 138.79674796692922)","(0.008686843366219067, 125.40853142895685)","(0.007849211000128184, 138.9520038798372)","(0.008882411825740564, 140.44617608300553)","(0.00813400645431016, 133.76064548393308)","(0.007692559690336554, 133.76480764582442)","(0.007518815002592408, 150.50096954967555)","(0.008157638414839437, 141.10949839532805)","(0.007330704073701669, 145.62818381595096)","(0.007932414701091916, 143.71497467886033)","(0.0002718358314598832, 5899.45091127835)","(0.00018163688030826326, 9030.136626132702)","(0.0002617082968145247, 6276.164648937286)","(0.00018211696153803085, 6848.810679496573)","(5.179505186565668e-05, 24001.89423264684)","(0.0017095371597447063, 909.9725315746989)","(0.00026007781281060403, 1385.1937481286773)","(8.374638589253006e-05, 20111.472042203368)"
"(0.007736847944452811, 136.9191849159038)","(0.007290296342640346, 139.79526456938464)","(0.00739454835793097, 141.57171810024798)","(0.008770158311394868, 144.62870084455562)","(0.008006687381606002, 151.9527189652246)","(0.007659865925398633, 138.8784690031069)","(0.007289303410888291, 150.7509501434979)","(0.008683567414566617, 149.0876461610206)","(0.007255086816351482, 145.3920633070948)","(0.007715756104635904, 137.42482260058765)","(0.006352409632184754, 155.13683691892578)","(0.007622990905793878, 145.99049886884978)","(0.00700716160180188, 139.97548250086396)","(0.007664371924609617, 144.7701450817247)","(0.007260351294337701, 144.2032105248982)","(0.007443289435609432, 137.78652296420177)","(0.006773053174180927, 151.97830526337538)","(0.0069506929682612495, 152.3349696225388)","(0.006811951961784951, 143.5863647702509)","(0.006616820410549721, 150.5330407007122)","(0.008434734605596858, 136.31723234422543)","(0.008202635765487918, 140.41417600497687)","(0.0069776939452350405, 146.6071650913066)","(0.008760512906885117, 125.0745544580696)","(0.008107137985804053, 144.8059715722688)","(0.007971949766612495, 153.3282216460332)","(0.008049890449738242, 139.21524057124054)","(0.008177939010706403, 134.77850223570033)","(0.006288084874550843, 163.73687068802616)","(0.008672174643871083, 141.6538010097486)","(0.00643925862846318, 151.95038747857473)","(0.006870429581757748, 145.54846853682722)","(0.0004076928248894316, 3377.2970684401325)","(0.0006347273188185051, 2452.1428322220468)","(0.0009209897925529264, 1765.9837681596769)","(0.00020761626902871826, 6541.548992913013)","(9.631325020036519e-06, 136948.34172864968)","(0.0025509878177917313, 613.2613139471372)","(0.00011283162186959268, 3136.4108306105204)","(2.2579389952200232e-05, 72448.04674153977)"
"(0.00778460650767032, 136.33537884837006)","(0.007579823607861571, 134.02908676947092)","(0.007579663769389112, 133.18353145674348)","(0.0072268827837068976, 143.58907190657487)","(0.007348621020873025, 141.386183335908)","(0.007531345707325535, 137.54537377133283)","(0.007546737021294864, 141.20742710514398)","(0.00905886206941531, 141.21631369713808)","(0.007573331761779419, 141.6728781456096)","(0.007383282965358053, 135.09359150704205)","(0.007016167064279386, 142.43503186123405)","(0.008331808311699095, 143.8450265774636)","(0.006880115451663727, 138.30855762943582)","(0.007871131103647766, 144.48635072875686)","(0.007135640636204976, 142.89528776765323)","(0.0067926125774657314, 133.91531104223807)","(0.007454078933992463, 142.27763304567986)","(0.00759888571077353, 143.42461242329188)","(0.006678538489942527, 141.01917776872847)","(0.007115529468304347, 141.2544357751827)","(0.00797125985878533, 140.4118755234983)","(0.007704372056543833, 137.286064474612)","(0.006902247404705222, 140.86062481660989)","(0.008284009205219, 128.52748757097325)","(0.00755735210737244, 137.15131863016921)","(0.007538152851200129, 147.79364047863962)","(0.007796832129848415, 137.47375816799146)","(0.007392782210654138, 133.7789160600344)","(0.007221365789278777, 144.35993564730254)","(0.008352723268607755, 143.80364994533744)","(0.0068077193806525185, 139.9707647251083)","(0.006766068818604541, 139.06683618826753)","(0.0007653751015601567, 1898.1170907353262)","(0.001109911230334245, 1447.460458455911)","(0.0007084141265466841, 2269.9019135964904)","(0.000467014963311403, 2320.0842168476715)","(1.7909246713216274e-05, 73701.27046731357)","(0.003013668062904746, 527.133447212218)","(0.00031601353549544424, 522.9862903178063)","(0.00025386915571614955, 6707.915227016809)"
"(0.008450817923493397, 139.38854905199477)","(0.007802912419467838, 145.04217375283008)","(0.008047975173219403, 146.83235937030008)","(0.00798041596836208, 151.23310386096082)","(0.007488102237264108, 154.75209894431555)","(0.00792411053099282, 144.80086907122484)","(0.007394090347251982, 157.18635383759445)","(0.009083179165868514, 146.37922276480552)","(0.0077440626577586465, 149.21130682012583)","(0.00771395663084373, 135.616181092143)","(0.006544646057989178, 161.8078641636718)","(0.008454815175574141, 144.26270287746956)","(0.006786710125567104, 142.56650468157386)","(0.007664491805208774, 148.00713130094078)","(0.0072522544924866865, 145.07487723056667)","(0.007129718711626038, 137.51390006519057)","(0.007055740285819985, 153.12502561540083)","(0.0074450139665844395, 155.31718196190116)","(0.007125138392826457, 141.34766565390532)","(0.007013615211633957, 150.23967185229344)","(0.007953517829732458, 140.41748496017044)","(0.007675862993279989, 143.6743852734767)","(0.0070149184555134, 146.1090973438717)","(0.008548569812905325, 128.8362187359577)","(0.007199194995393691, 152.75497210376494)","(0.007588292586244473, 157.88352258632432)","(0.008247906222667151, 138.99627774851356)","(0.007847051783625679, 134.98086903950366)","(0.006568750086882438, 169.09888857453518)","(0.00913355289296148, 138.12261231756307)","(0.006576667864132381, 156.35275147488693)","(0.006978495015440566, 145.75341956409906)","(0.000969793768600467, 1444.694501330949)","(0.0012863882208094546, 1200.1659258896393)","(0.000918502982317365, 1745.9814144742354)","(0.0005773736368194359, 1940.0859442149)","(0.00014146375294579982, 7566.998772261695)","(0.001654235941143627, 935.1838578985655)","(0.00016703537608300328, 1241.7404740153352)","(8.717641361731984e-05, 19071.7758661805)"
"(0.008711068186963898, 140.41821088950823)","(0.007556507849787388, 147.91420964168816)","(0.007381673817272094, 147.56296002838758)","(0.0074052793729695926, 147.3013933553192)","(0.007325699430632285, 149.87146298302898)","(0.007319370305476155, 148.8675626280743)","(0.008005323009489593, 143.86492716624036)","(0.009451341930468716, 140.15475885416768)","(0.008380142999076365, 142.8032424717313)","(0.007814416589863106, 135.93049045587512)","(0.007060357645622207, 156.88193414799682)","(0.008552093733062432, 146.96808106497625)","(0.006958424721373714, 143.13488486101343)","(0.007565760830351085, 150.407837744376)","(0.00678327872840622, 152.45313972577733)","(0.0069920234353037835, 138.81370465143135)","(0.007364566688059531, 159.82301080724457)","(0.007149825982215512, 161.82183917211213)","(0.0055032977599573955, 165.09425446932286)","(0.00651134136317009, 165.160664368348)","(0.009584975523206685, 132.3754052289961)","(0.00888717588588907, 136.16994712074768)","(0.005964449842547591, 164.00876860739612)","(0.008019276373024428, 134.37886375207916)","(0.007745607960308996, 141.69352909332738)","(0.007842857862670293, 152.3723952454026)","(0.007854337320076775, 144.0562367640385)","(0.007676535401087275, 135.02570359128154)","(0.007208868639412485, 158.74146115844295)","(0.00904356521046026, 143.071301847785)","(0.00661740799348591, 155.2333337981138)","(0.006439807898006915, 151.5786915095991)","(0.001042381436091127, 1344.8975700847511)","(0.0005698359450333259, 2802.0596975713447)","(0.0003036497600140289, 5222.274128537514)","(0.0008039600084305694, 1494.2787337504262)","(5.909911414475228e-05, 17345.536170556676)","(0.001415944338183979, 1077.1181583096945)","(0.00010520451083303611, 1598.9769183483218)","(3.14352935483266e-05, 52422.97046491243)"
"(0.007892988900620165, 137.44385408000812)","(0.007534513354700816, 136.40809619557587)","(0.007643664961230288, 136.84264660821265)","(0.007573890949503033, 144.34011691450686)","(0.00769840192095457, 144.8724586570006)","(0.007837002671790303, 138.16933339799027)","(0.007883686042717575, 140.8692356379081)","(0.009735724269127093, 135.00915321642552)","(0.0074108062660684475, 139.76400595163557)","(0.007564647687645321, 134.34511398271619)","(0.007228462550462293, 143.81325997017217)","(0.007178498483118755, 142.50622374018891)","(0.006661090711570255, 133.6520708429968)","(0.006964769024954414, 141.8227754819186)","(0.007153780183107316, 143.71774550877367)","(0.007009162493239616, 136.15208409340104)","(0.007361884874457723, 145.265295709737)","(0.00762463718081753, 145.8651395255385)","(0.006682013809242392, 141.21430497860877)","(0.006951476116553595, 143.94618991910986)","(0.00805770202302535, 134.71507984394614)","(0.007834969779098174, 135.07235972097317)","(0.006960638414330291, 141.56401166004474)","(0.008375140027151352, 128.8458403502068)","(0.007708909614967018, 138.47527602485223)","(0.008441569151614297, 143.70470388499078)","(0.007533970634271687, 138.5589849429458)","(0.0073603128264526614, 138.35298842810872)","(0.007435999587719068, 148.50541621441)","(0.0075077371194627145, 144.2691124925135)","(0.007015753843870118, 144.6333439460092)","(0.00723998791636213, 145.81281499451072)","(0.0005566398539048556, 2655.6734732039995)","(0.0005525308476543904, 3049.2677886838524)","(0.0004573052157363705, 3532.114513194645)","(0.0005770120254181011, 2209.562548198727)","(1.0245408517457905e-05, 114220.64870650665)","(0.0017730357956606533, 887.4378393046248)","(0.00020098888153982278, 1123.3241329818284)","(5.9808226667613736e-05, 28010.699902839406)"
"(0.008333696304723722, 134.49591419263052)","(0.008021007335775581, 134.45143693717807)","(0.008121209656628202, 135.08160527336517)","(0.008227252344568899, 142.82033126741862)","(0.008311006563330847, 141.84555700361452)","(0.008393240029234214, 134.43455434118712)","(0.008167523646531612, 141.74744741473455)","(0.010253362910481971, 133.20045757828737)","(0.008498906239634016, 139.9777996164349)","(0.007894565929579664, 134.13877299177102)","(0.007708119034845228, 146.90602430527653)","(0.009412634460874246, 136.73122320068822)","(0.007671671393818223, 139.39898377763177)","(0.008341296180655601, 142.26777106803172)","(0.007654343336496114, 143.78264829996914)","(0.007672150829295334, 133.04404451865744)","(0.0078088491968100445, 141.4452302141179)","(0.008530808552190202, 138.84430394330522)","(0.007507302243975043, 137.04122180883908)","(0.007778041481763779, 140.70113867729793)","(0.008286685390844902, 135.7418600567431)","(0.008121266638847744, 136.75934383695946)","(0.0076579518203567344, 140.43278038116588)","(0.008846961637344391, 124.5614084952913)","(0.00794911409150219, 140.38396753541997)","(0.008766471514709521, 141.70925338729543)","(0.008479999114220923, 134.93401469494574)","(0.007948631929614574, 132.5755965851796)","(0.007839361459749153, 148.34463754881705)","(0.00964876739298284, 133.92597804563235)","(0.007215747867433893, 146.86077717219308)","(0.007192376881061537, 143.5163981860236)","(0.0007831112483719365, 2145.6548829174626)","(0.0004702780008910996, 3538.135051043543)","(0.0006940803670180761, 2435.3587564653335)","(0.0003073886255258796, 3507.163791661226)","(4.621450294247419e-05, 29563.845800992473)","(0.004784317084724754, 341.06003165978495)","(5.653989774242987e-05, 4260.418632148973)","(4.786333746256394e-05, 34661.89246568999)"
